"id","Sex","Race","SES","PreK","District_Poverty","Math_0","Math_0.5","Math_1","Math_1.5","Math_2","Math_2.5","Math_3.5","Math_4.5","Math_5.5","Reading_0","Reading_0.5","Reading_1","Reading_1.5","Reading_2","Reading_2.5","Reading_3.5","Reading_4.5","Reading_5.5","Science_0.5","Science_1","Science_1.5","Science_2","Science_2.5","Science_3.5","Science_4.5","Science_5.5","DCCS_0","DCCS_0.5","DCCS_1","DCCS_1.5","DCCS_2","DCCS_2.5","DCCS_3.5","DCCS_4.5","DCCS_5.5","Numbers_Reversed_0","Numbers_Reversed_0.5","Numbers_Reversed_1","Numbers_Reversed_1.5","Numbers_Reversed_2","Numbers_Reversed_2.5","Numbers_Reversed_3.5","Numbers_Reversed_4.5","Numbers_Reversed_5.5","Numbers_Reversed_(W-ability)_0","Numbers_Reversed_(W-ability)_0.5","Numbers_Reversed_(W-ability)_1","Numbers_Reversed_(W-ability)_1.5","Numbers_Reversed_(W-ability)_2","Numbers_Reversed_(W-ability)_2.5","Numbers_Reversed_(W-ability)_3.5","Numbers_Reversed_(W-ability)_4.5","Numbers_Reversed_(W-ability)_5.5"
"10007124","Male","Black",-0.426,"center",NA,38.7916,65.1285,NA,75.3328,NA,83.6779,109.0063,120.3925,123.2945,53.0139,66.9374,NA,114.0555,NA,118.1378,124.8495,115.7433,134.539,33.4271,NA,36.9532,NA,53.5039,61.8732,67.1956,73.2326,15,10,NA,17,NA,8.0547,7.3153,8.5127,8.755,99,118,NA,100,NA,76,102,92,88,435,483,NA,476,NA,448,496,489,489
"10007163","Female","Hispanic",-0.866,"center",45,45.8486,50.2105,54.748,63.4082,67.425,81.0626999999999,104.7081,120.4918,115.8783,69.4679,71.238,94.3754,103.1225,103.948,123.1556,117.3952,126.0196,129.2691,31.1917,41.8353,40.3141,44.7747,49.8866,60.8052,66.4575,74.8522,15,16,10,10,4,7.0038,7.861,7.6977,7.4019,121,105,91,112,119,109,93,97,98,476,462,448,489,502,496,483,496,502
"10007243","Male","White",1.246,"non-relative",NA,42.5504,58.8357,NA,NA,NA,NA,NA,NA,NA,52.3926,62.3837,NA,NA,NA,NA,NA,NA,NA,38.7962,NA,NA,NA,NA,NA,NA,NA,15,18,NA,NA,NA,NA,NA,NA,NA,102,115,NA,NA,NA,NA,NA,NA,NA,448,483,NA,NA,NA,NA,NA,NA,NA
"10007421","Female","White",-0.068,"center",9,28.9289,31.9301,34.3679,52.3997,55.7375,61.8043,72.0406,87.7512,107.253,45.0082,49.3139,53.5908,69.2434,72.78,88.3721999999999,104.2174,125.0083,130.7826,32.8915,32.2229,33.4249,34.0639,38.0803,47.1892,49.3694,61.0443,15,14,8,15,2.125,7.707,8.8228,8.3045,8.2044,80,75,67,59,51,93,92,87,87,403,403,403,403,403,476,483,483,489
"10007453","Male","White",0.9152,"center",12,38.6658,55.6296,NA,72.6995,NA,90.6863,117.0179,NA,NA,53.2473,69.9559,NA,84.4972,NA,98.0842,133.3761,NA,NA,37.9925,NA,51.5019,NA,61.9822,60.3596,NA,NA,17,15,NA,18,NA,7.8265,8.20109999999999,NA,NA,85,107,NA,111,NA,90,105,NA,NA,448,489,NA,502,NA,483,509,NA,NA
"10007549","Male","White",0.1604,"none",24,46.5667,65.7982,NA,94.0425,NA,109.1503,137.961,NA,NA,58.7189,77.7945,NA,120.5484,NA,130.8795,151.1286,NA,NA,44.3322,NA,66.6944,NA,68.0948,79.8623,NA,NA,18,18,NA,18,NA,6.5686,8.3307,NA,NA,105,105,NA,117,NA,103,128,NA,NA,448,462,NA,496,NA,489,528,NA,NA
"10007567","Female","White",0.3299,"center",NA,40.3556,47.5238,NA,71.6469,NA,81.2791,102.3787,112.0438,NA,51.6975,54.4916,NA,94.9325,NA,124.2462,124.5923,126.161,NA,30.9971,NA,38.295,NA,45.7774,51.7383,56.1196,NA,14,15,NA,15,NA,6.9758,6.6607,9.0128,NA,106,106,NA,101,NA,86,99,89,NA,470,476,NA,483,NA,470,496,489,NA
"10007614","Female","Hispanic",-0.983,"relative",17,32.8573,53.1221,NA,84.6733,NA,106.7429,111.3923,127.6195,129.1738,44.8671,62.3975,NA,92.9465999999999,NA,108.6503,115.4585,129.8207,132.4796,26.1696,NA,30.5327,NA,48.5707,58.244,64.9592,75.1109,13,18,NA,18,NA,7.3397,7.3374,8.8674,9.5714,75,102,NA,113,NA,94,104,126,118,403,470,NA,496,NA,483,502,539,534
"10007701","Female","Black",-0.428,"none",11,39.1449,44.6596,NA,NA,NA,NA,NA,NA,NA,56.9762,59.5352,NA,NA,NA,NA,NA,NA,NA,43.8556,NA,NA,NA,NA,NA,NA,NA,15,18,NA,NA,NA,NA,NA,NA,NA,100,108,NA,NA,NA,NA,NA,NA,NA,448,470,NA,NA,NA,NA,NA,NA,NA
"10007907","Female","White",0.3874,"none",NA,NA,44.052,NA,65.0303,NA,93.0338,94.1355,108.9454,111.7658,NA,60.422,NA,76.9438,NA,109.9554,113.3608,125.9905,137.1929,46.6827,NA,42.5483,NA,51.4861,65.0327,70.78,73.4298,NA,14,NA,17,NA,7.5057,7.9288,9.3286,8.5723,NA,95,NA,91,NA,90,89,94,105,NA,462,NA,470,NA,476,483,496,516
